threshold,precision,recall_approved,recall_rejected,f1,approval_rate_pred
0.4,0.8571428571428571,0.9622641509433962,0.8857142857142857,0.9066666666666666,0.7727272727272727
0.41,0.8571428571428571,0.9622641509433962,0.8857142857142857,0.9066666666666666,0.7727272727272727
0.42,0.8620689655172413,0.9433962264150944,0.8421052631578947,0.9009009009009009,0.7532467532467533
0.43,0.8695652173913043,0.9433962264150944,0.8461538461538461,0.9049773755656109,0.7467532467532467
0.44,0.8695652173913043,0.9433962264150944,0.8461538461538461,0.9049773755656109,0.7467532467532467
0.45,0.868421052631579,0.9339622641509434,0.825,0.9,0.7402597402597403
0.46,0.8660714285714286,0.9150943396226415,0.7857142857142857,0.8899082568807339,0.7272727272727273
0.47,0.8807339449541285,0.9056603773584906,0.7777777777777778,0.8930232558139535,0.7077922077922078
0.48,0.8796296296296297,0.8962264150943396,0.7608695652173914,0.8878504672897196,0.7012987012987013
0.49,0.8773584905660378,0.8773584905660378,0.7291666666666666,0.8773584905660378,0.6883116883116883
0.5,0.875,0.8584905660377359,0.7,0.8666666666666667,0.6753246753246753
0.51,0.8686868686868687,0.8113207547169812,0.6363636363636364,0.8390243902439024,0.6428571428571429
0.52,0.875,0.7924528301886793,0.6206896551724138,0.8316831683168316,0.6233766233766234
0.53,0.8709677419354839,0.7641509433962265,0.5901639344262295,0.8140703517587939,0.6038961038961039
0.54,0.8709677419354839,0.7641509433962265,0.5901639344262295,0.8140703517587939,0.6038961038961039
0.55,0.8666666666666667,0.7358490566037735,0.5625,0.7959183673469388,0.5844155844155844
0.56,0.875,0.7264150943396226,0.5606060606060606,0.7938144329896907,0.5714285714285714
0.57,0.8658536585365854,0.6698113207547169,0.5138888888888888,0.7553191489361702,0.5324675324675324
0.58,0.8658536585365854,0.6698113207547169,0.5138888888888888,0.7553191489361702,0.5324675324675324
0.59,0.8625,0.6509433962264151,0.5,0.7419354838709677,0.5194805194805194
0.6,0.88,0.6226415094339622,0.4936708860759494,0.7292817679558011,0.487012987012987
0.61,0.9027777777777778,0.6132075471698113,0.5,0.7303370786516854,0.4675324675324675
0.62,0.8970588235294118,0.5754716981132075,0.47674418604651164,0.7011494252873564,0.44155844155844154
0.63,0.9032258064516129,0.5283018867924528,0.45652173913043476,0.6666666666666666,0.4025974025974026
0.64,0.9090909090909091,0.4716981132075472,0.43434343434343436,0.6211180124223602,0.35714285714285715
0.65,0.9038461538461539,0.44339622641509435,0.4215686274509804,0.5949367088607594,0.33766233766233766
